Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2,,,,,,,,,,
Com_1_pos,Hypoxanthine,C5 H4 N4 O,136.0386,2.046,137.04579,Full match,Full match,Full match,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Hypoxanthines,461530133,707781385.8,8071719463,1581239656,987645010,662041758.8,507640146.7,,,,,,,,,,
Com_2_pos,Nicotinic acid,C6 H5 N O2,123.0322,1.857,124.03942,Full match,Full match,Full match,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids,399080329.5,469707574,1037038709,550358388.1,272481084.7,337753001.9,359036008.9,,,,,,,,,,
Com_3_pos,"5,6-dimethyl-4-oxo-4H-pyran-2-carboxylic acid",C8 H8 O4,168.04244,5.236,169.04961,Full match,Full match,Full match,,,,,20751326.57,33219853.87,31212283,15957958.54,112828434.4,39895024.87,20256611.6,,,,,,,,,,
Com_4_pos,L-Phenylalanine,C9 H11 N O2,165.07916,4.978,166.08646,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,151553375.6,275632693.5,1642840551,336225037,219739065.8,235782167.3,117681227.4,,,,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2
Com_5_pos,L-Pyroglutamic acid,C5 H7 N O3,129.04274,2.254,130.04997,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,153939737.7,218532196.4,641015880.8,322101062.8,164112646.9,404247803,187544165.6,,,,,,,,,,
Com_6_pos,Indole-3-acetic acid,C10 H9 N O2,175.06327,5.734,176.07047,Full match,Full match,Full match,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives,34136951.72,34330581.61,320678427.2,103645878.5,89698121.73,118253008.2,122696132.9,,,,,,,,,,
Com_7_pos,Choline,C5 H13 N O,103.09988,1.321,104.10709,Full match,Full match,No results,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,128652077.3,235285653.2,1327152031,248614618.3,238574063.4,244455703.3,165410294.7,,,,,,,,,,
Com_8_pos,trans-Cinnamaldehyde,C9 H8 O,132.05774,5.613,133.06496,Full match,Full match,No results,Phenylpropanoids and polyketides,Cinnamaldehydes,Not available,Cinnamaldehydes,61602767.35,54206085.81,26366288.33,26867458.94,33514506.95,34285686.25,33005248.23,,,,,,,,,,
Com_9_pos,Pipecolic acid,C6 H11 N O2,129.07918,1.549,130.08647,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,191585605.9,157825186.6,1898898625,101021985.2,89385729.86,569016383.8,176186483,,,,,,,,,,
Com_10_pos,Coumarin,C9 H6 O2,146.0371,5.255,147.0444,Full match,Full match,Full match,Phenylpropanoids and polyketides,Coumarins and derivatives,Not available,Coumarins and derivatives,54617126.09,51475140.01,104251640.3,89760645.91,53684408.64,53760544.44,62016240.91,,,,,,,,,,
Com_11_pos,Indole-3-acrylic acid,C11 H9 N O2,187.06351,5.225,188.07092,Full match,Full match,Full match,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Indoles,118520690.3,139242869.9,283641608.6,178567845.2,158339140.1,125366827.6,108671397.2,,,,,,,,,,
Com_12_pos,3'-Adenosine monophosphate (3'-AMP),C10 H14 N5 O7 P,347.0623,1.984,348.06946,Full match,Full match,Full match,"Nucleosides, nucleotides, and analogues",Ribonucleoside 3'-phosphates,Not available,Ribonucleoside 3'-phosphates,3065669.58,4319374.733,118644325.2,3552950.819,5740522.442,15868446.02,2448757.287,,,,,,,,,,
Com_13_pos,"N1-(2,3-dihydro-1,4-benzodioxin-6-yl)acetamide",C10 H11 N O3,193.07391,5.394,194.08121,Full match,Full match,Full match,,,,,4951913.482,39080136.17,47655834.4,5072464.254,4654540.286,15751341.65,4201353.664,,,,,,,,,,
Com_14_pos,Adenine,C5 H5 N5,135.05456,1.515,136.06181,Full match,Full match,Full match,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,141525837.7,148114080.5,153483504.9,111302747.1,230633156.8,284623911.2,96043569.63,,,,,,,,,,
Com_15_pos,L-Glutamic acid,C5 H9 N O4,147.05332,1.55,148.06059,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,763937668.6,646630786,1146543494,840563023.2,626333610,649246124.3,919905000.9,,,,,,,,,,
Com_16_pos,Xanthine,C5 H4 N4 O2,152.03358,2.214,153.04085,Full match,Full match,Full match,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,202001024.5,340317998.6,2691859368,317456353.8,133329254.7,144703961.7,190321418,,,,,,,,,,
Com_17_pos,Kynurenic acid,C10 H7 N O3,189.0428,5.359,190.05013,Full match,Full match,Full match,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Quinoline carboxylic acids,195811456.4,262467776,185942137.7,293224942.2,102279897,80900862.46,201790171.6,,,,,,,,,,
Com_18_pos,"5,6-dimethoxy-2-(2-methoxyphenyl)-4H-chromen-4-one",C18 H16 O5,294.08893,5.623,295.0961,Invalid mass,No results,No results,,,,,379718514.1,425618047.1,142627567,366382418.9,215204225.5,185630233.4,473355468.2,,,,,,,,,,
Com_19_pos,"methyl 3,4,5-trihydroxycyclohex-1-ene-1-carboxylate",C8 H12 O5,170.05538,2.855,171.06265,Invalid mass,No results,No results,,,,,3842892.684,5146153.891,2595868.015,3917274.451,3502625.998,3962785.807,4186454.186,,,,,,,,,,
Com_20_pos,Stearoyl Ethanolamide,C20 H41 N O2,309.30273,10.713,310.31006,Invalid mass,No results,No results,Organic nitrogen compounds,Organonitrogen compounds,Amines,N-acylethanolamines,1743820.209,2301430.941,1437489.261,1908871.469,1951895.372,1864441.028,2077879.826,,,,,,,,,,
Com_21_pos,LSD-d3,C20 H22 [2]H3 N3 O,304.23742,10.662,305.24591,Invalid mass,No results,No results,,,,,6561935.52,8871250.319,23705087.61,4605186.079,8329512.805,4589161.474,5800277.633,,,,,,,,,,
Com_22_pos,Menadione,C11 H8 O2,172.05004,6.068,173.05714,No results,Invalid mass,No results,Benzenoids,Naphthalenes,Naphthoquinones,Naphthoquinones,271975677.2,298203885.2,193075427,199696341.5,203894477,230024386.6,255509752.7,,,,,,,,,,
Com_23_pos,"2-(2-acetyl-3,5-dihydroxyphenyl)acetic acid",C10 H10 O5,210.05276,5.292,211.06012,Full match,No results,Full match,,,,,2453383.802,2460087.505,2114283.225,2322626.477,2786572.774,3310588.25,3192523.978,,,,,,,,,,
Com_24_pos,Docosahexaenoic acid,C22 H32 O2,328.23523,11.285,329.24243,Invalid mass,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids,5991707.957,7647965.355,2026804.419,9949855.107,4473706.523,6369521.473,26769994.9,,,,,,,,,,
Com_25_pos,2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid,C10 H18 O4,202.12033,6.024,203.12747,Full match,No results,Full match,,,,,766150561.1,827833892.5,469722645.5,762596268.5,624419064.5,760891260.5,740248371.7,,,,,,,,,,
Com_26_pos,"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid",C11 H20 O4,198.12438,6.096,199.13167,Invalid mass,Invalid mass,No results,,,,,1389619004,1054333752,769021803.6,1354650900,899887413.3,1117585037,1270311049,,,,,,,,,,
Com_27_pos,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C14 H14 O4,246.08682,5.536,247.0943,Invalid mass,No results,No results,,,,,6537697.255,10833468.02,9425982.573,8207866.353,9081481.178,11320434.12,11637791.13,,,,,,,,,,
Com_28_pos,"2-hydroxy-6-[(8Z,11Z)-pentadeca-8,11,14-trien-1-yl]benzoic acid",C22 H30 O3,302.22211,10.097,303.22903,Invalid mass,No results,No results,,,,,6727850.785,12792403.5,37487227.35,4770563.504,2983402.11,5865092.815,3861702.063,,,,,,,,,,
Com_29_pos,4-Coumaric acid,C9 H8 O3,164.04758,5.209,165.05479,Full match,Not the top hit,Full match,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,43023992.56,38226859.78,92645026.33,73331438.65,36112017.05,35053020.57,45269698.05,,,,,,,,,,
Com_30_pos,"Erythrono-1,4-lactone",C4 H6 O4,118.028,1.532,119.03555,No results,Invalid mass,No results,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones,49517325.79,58817917.81,86266874.22,75584884.3,58288721.76,56254193.77,47413251.31,,,,,,,,,,
Com_31_pos,1-(4-hydroxyphenyl)-2-phenylethan-1-one,C14 H12 O2,212.08381,5.361,213.09113,Full match,No results,No results,,,,,45618009.86,45259036.45,20771352.51,44795310.89,24960174.05,28194551.86,49300651.83,,,,,,,,,,
Com_32_pos,"2-(2,6-dimethoxyphenyl)-5,6-dimethoxy-4H-chromen-4-one",C19 H18 O6,324.09888,5.553,325.10608,Invalid mass,No results,No results,,,,,284101350.8,264455738.7,321457254.5,227489814.7,226172038.6,271793404.1,179051375.2,,,,,,,,,,
Com_33_pos,D-(+)-Maltose,C12 H22 O11,364.09796,1.352,365.10532,Invalid mass,No results,No results,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,O-glycosyl compounds,113896584.8,181552068,95457960.18,121934977.8,80490498.73,89894924.25,54971235.86,,,,,,,,,,
Com_34_pos,13-HPODE,C18 H32 O4,312.22983,7.014,313.23697,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,14365451.22,13992830.15,11205339.52,15846925.17,12596014.21,13499911.83,13196086.31,,,,,,,,,,
Com_35_pos,cis-Resveratrol,C14 H12 O3,228.07609,5.58,229.08347,Invalid mass,Invalid mass,No results,Phenylpropanoids and polyketides,Stilbenes,Not available,Stilbenes,42056000.21,35764188.75,32704406.67,43429704.31,27697711.96,29003772.32,42960852.71,,,,,,,,,,
Com_36_pos,Isoquinoline,C9 H7 N,147.0687,5.868,148.07585,Invalid mass,Invalid mass,No results,Organoheterocyclic compounds,Isoquinolines and derivatives,Not available,Isoquinolines and derivatives,34896130.18,12076396.05,127767469.4,42182887.84,42535941.29,44111628.27,41732395.02,,,,,,,,,,
Com_37_pos,Linoleoyl Ethanolamide,C20 H37 N O2,301.29777,7.553,302.30511,Invalid mass,No results,No match,Organic nitrogen compounds,Organonitrogen compounds,Amines,N-acylethanolamines,1649294.383,1742799.543,1019860.666,1842876.215,2062197.811,1941844.842,1906195.192,,,,,,,,,,
Com_38_pos,N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea,C23 H32 N4 O,380.25359,7.094,381.26096,Invalid mass,No results,No results,,,,,253107846.1,195566998.7,80844904.59,216191453.9,109846790,189511081.2,198691526.4,,,,,,,,,,
Com_39_pos,Methyl palmitate,C17 H34 O2,287.28231,6.54,288.2901,Invalid mass,Invalid mass,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid methyl esters,862323.3367,1087582.025,6051348.68,683608.9224,1295962.427,1648995.026,827453.5113,,,,,,,,,,
Com_40_pos,Isohomovanillic acid,C9 H10 O4,182.05537,2.315,183.0627,No results,Invalid mass,No results,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,9951337.391,11995249.4,156417330.4,8982271.084,11548132.37,10097675.33,6746969.526,,,,,,,,,,
Com_41_pos,Ribulose-5-phosphate,C5 H11 O8 P,230.01899,1.406,231.02631,No results,No results,Full match,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Pentose phosphates,2001832.856,3293736.338,12140802.8,3176649.421,2334090.268,9735996.536,2071081.366,,,,,,,,,,
Com_42_pos,8-Hydroxyguanosine,C10 H13 N5 O6,299.08725,5.569,300.09454,No results,No results,Full match,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Not available,Purine nucleosides,89429054.31,88712371.37,134653961.3,98026846.16,92409298.24,107582196.1,111280943.3,,,,,,,,,,
Com_43_pos,Methionine sulfoxide,C5 H11 N O3 S,165.046,1.991,166.05327,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,1415363.538,1643728.186,10764404.65,2354962.697,1889241.42,1977396.933,1429334.082,,,,,,,,,,
Com_44_pos,Styrene,C8 H8,104.06287,5.126,105.07007,No results,No results,Full match,Benzenoids,Benzene and substituted derivatives,Styrenes,Styrenes,42727304.76,71128828.83,281581350.1,38849544.74,61311943.89,87338843.98,73730534.93,,,,,,,,,,
Com_45_pos,"(2E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid",C11 H12 O4,208.07348,5.366,209.08081,Full match,Partial match,Full match,,,,,4847677.842,4313615.474,23509690.92,3652046.199,5296120.529,439037.504,3882057.954,,,,,,,,,,
Com_46_pos,"13,14-Dihydro prostaglandin E1",C20 H36 O5,338.24281,9.305,339.25006,Invalid mass,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,21846709.36,21321066.92,18148204.89,22973046.64,21043386.91,23439198.41,23394736.08,,,,,,,,,,
Com_47_pos,"3-methoxy-2-phenyl-4H-furo[2,3-h]chromen-4-one",C18 H12 O4,292.07333,5.541,293.0806,Full match,No results,No results,,,,,2168472.165,86512721.97,126070842.6,82998541.73,73623667.24,66648483.69,94223399.82,,,,,,,,,,
Com_48_pos,Acetylcholine,C7 H15 N O2,145.11049,1.665,146.11777,No results,Full match,No results,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Acyl cholines,29036256.2,15490712.21,75041221.97,268747666.7,32041245.06,54352849.63,173767107.1,,,,,,,,,,
Com_49_pos,ERH,C17 H28 N8 O6,440.21744,7.535,441.2247,Invalid mass,No results,No results,,,,,2675096.565,2798032.23,1894874.318,2121891.084,2341396.249,2614782.88,2344702.227,,,,,,,,,,
Com_50_pos,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",C15 H24 O3,234.16176,6.875,235.16904,Invalid mass,Invalid mass,No results,,,,,7325927.757,8249183.029,44744767.65,8063442.027,23428976.44,17616661.25,5631184.237,,,,,,,,,,
Com_51_pos,Leucylproline,C11 H20 N2 O3,228.14733,5.178,229.15471,No results,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,29466052.37,45791398.35,295674936,67728203.75,30639377.7,34700981.09,51258504.73,,,,,,,,,,
Com_52_pos,2-[2-(5-bromo-2-pyridyl)diaz-1-enyl]-5-(diethylamino)phenol,C15 H17 Br N4 O,348.06067,5.516,349.06805,Invalid mass,No results,No results,,,,,24767580.06,17479024.44,20964210.29,20590156.13,17538515.69,12435468.09,19752076.93,,,,,,,,,,
Com_53_pos,Diflorasone,C22 H28 F2 O5,410.19155,5.702,411.19876,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,807014.0131,558767.9147,1098448.701,752903.9488,2438616.634,2162799.237,740993.6657,,,,,,,,,,
Com_54_pos,"8,8-dimethyl-2H,8H-pyrano[3,2-g]chromen-2-one",C14 H12 O3,228.07858,5.264,229.08586,Full match,Partial match,No results,,,,,4152584.655,3407576.19,3046175.069,3166459.264,3341077.086,3702072.585,3545772.674,,,,,,,,,,
Com_55_pos,(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid,C15 H24 O3,252.17098,6.154,235.16736,Invalid mass,No results,No results,,,,,56881739.76,60187406.25,205303249.2,56282082.92,100441041.5,84347819.28,56512068.84,,,,,,,,,,
Com_56_pos,L-Homocystine,C8 H16 N2 O4 S2,268.05557,5.243,269.06305,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,14427326.59,9964539.154,2799440.404,12497619.07,15043181.41,17296079.08,15206432.8,,,,,,,,,,
Com_57_pos,gamma-Tocopherol,C28 H48 O2,416.36495,11.519,417.3717,No results,No results,Full match,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Tocopherols,985310.1065,736887.2622,551351.2714,677389.5666,663365.1089,744017.6587,820245.9183,,,,,,,,,,
Com_58_pos,3-(4-hydroxy-3-methoxyphenyl)propanoic acid,C10 H12 O4,178.06304,5.293,179.07014,Invalid mass,No match,No match,,,,,202888052.8,178503570.7,221702833.7,268909887.5,135853675.7,129733466.5,203309352.1,,,,,,,,,,
Com_59_pos,"(3R)-8-hydroxy-3-(4-hydroxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one",C15 H12 O4,256.07305,5.557,257.08032,Full match,Partial match,No results,,,,,138714697.2,117867767.8,89783635.64,121207296.3,23522902.57,92296905.51,142777062.6,,,,,,,,,,
Com_60_pos,Sebacic acid,C10 H18 O4,202.12013,5.647,427.22961,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,884422863.2,938166734.7,618112077.5,890775875.3,800282893.7,859047682,856455461.3,,,,,,,,,,
Com_61_pos,1-(7-methoxy-2-oxo-2H-chromen-8-yl)-3-methyl-2-oxobutyl acetate,C17 H18 O6,340.09348,5.304,341.10077,Invalid mass,No match,No results,,,,,74717922.83,61076086.8,87709928.4,79417585.01,37972025.7,51782050.1,69396830,,,,,,,,,,
